==============================
 ANALIZA: ACTIVE_LAST_1_YEAR
==============================

CURRENT RATING STATS (BUCKET 100)
------------------------------------------------------------------------------------------
BUCKET      USERS     TOP %     MEDIAN_TIME    AVG_TIME       
-100--1        18        100.0     1.089          1.386          
0-99        9         99.986    0.936          1.312          
100-199       7         99.979    0.942          1.23           
200-299       26        99.974    0.933          1.184          
300-399       70        99.954    0.905          1.158          
400-499       194       99.901    0.869          1.12           
500-599       795       99.754    0.82           1.059          
600-699       2568      99.149    0.751          0.981          
700-799       6577      97.197    0.68           0.918          
800-899       12335     92.196    0.65           0.905          
900-999       15535     82.818    0.663          0.933          
1000-1099      15570     71.007    0.705          0.979          
1100-1199      14538     59.169    0.75           1.028          
1200-1299      15694     48.116    0.804          1.08           
1300-1399      11480     36.184    0.864          1.147          
1400-1499      11477     27.456    0.934          1.215          
1500-1599      6526      18.73     0.998          1.288          
1600-1699      6670      13.768    1.091          1.392          
1700-1799      3446      8.697     1.204          1.52           
1800-1899      2099      6.077     1.378          1.703          
1900-1999      1830      4.481     1.496          1.845          
2000-2099      1029      3.09      1.674          2.018          
2100-2199      1301      2.307     1.866          2.198          
2200-2299      597       1.318     2.159          2.467          
2300-2399      336       0.864     2.454          2.747          
2400-2499      323       0.609     2.75           2.995          
2500-2599      160       0.363     3.093          3.273          
2600-2699      98        0.242     3.26           3.534          
2700-2799      71        0.167     3.483          3.784          
2800-2899      49        0.113     3.783          4.005          
2900-2999      30        0.076     4.003          4.233          
3000-3099      27        0.053     4.189          4.53           
3100-3199      11        0.033     4.588          4.777          
3200-3299      9         0.024     4.754          5.081          
3300-3399      9         0.017     5.265          5.492          
3400-3499      6         0.011     5.429          5.645          
3500-3599      3         0.006     6.102          6.086          
3600-3699      3         0.004     6.269          6.52           
3700-3799      2         0.002     6.713          7.784          

TOTAL USERS: 131528

CURRENT RANK STATS
------------------------------------------------------------------------------------------
RANK                          USERS     TOP %     MEDIAN_TIME    AVG_TIME       
Newbie                        68242     100.0     -              -              
Pupil                         27174     48.116    0.804          1.08           
Specialist                    18003     27.456    0.934          1.215          
Expert                        12215     13.768    1.091          1.392          
Candidate Master              2859      4.481     1.496          1.845          
Master                        1898      2.307     1.866          2.198          
International Master          336       0.864     2.454          2.747          
Grandmaster                   483       0.609     2.75           2.995          
International Grandmaster     248       0.242     3.26           3.534          
Legendary Grandmaster         70        0.053     4.189          4.53           

TOTAL USERS: 131528

>>> DATE PENTRU GRAFIC: ACTIVE_LAST_1_YEAR (PAS 30) <<<
BUCKET    USERS     
-60       13        
-30       5         
0         1         
30        2         
60        5         
90        1         
120       1         
150       2         
180       6         
210       5         
240       8         
270       11        
300       11        
330       26        
360       18        
390       30        
420       50        
450       65        
480       109       
510       153       
540       246       
570       351       
600       513       
630       719       
660       923       
690       1348      
720       1716      
750       2253      
780       2706      
810       3307      
840       3642      
870       4353      
900       4524      
930       4737      
960       4682      
990       4681      
1020      4703      
1050      4641      
1080      4718      
1110      4502      
1140      4214      
1170      4241      
1200      5107      
1230      4961      
1260      4303      
1290      3986      
1320      3564      
1350      3251      
1380      3308      
1410      3875      
1440      3528      
1470      2768      
1500      2422      
1530      1950      
1560      1615      
1590      2186      
1620      2244      
1650      1809      
1680      1408      
1710      1127      
1740      1008      
1770      873       
1800      739       
1830      639       
1860      567       
1890      586       
1920      597       
1950      542       
1980      393       
2010      364       
2040      280       
2070      251       
2100      484       
2130      405       
2160      309       
2190      261       
2220      205       
2250      134       
2280      145       
2310      114       
2340      81        
2370      96        
2400      134       
2430      95        
2460      74        
2490      55        
2520      53        
2550      46        
2580      34        
2610      43        
2640      27        
2670      20        
2700      20        
2730      22        
2760      21        
2790      24        
2820      10        
2850      16        
2880      10        
2910      11        
2940      8         
2970      8         
3000      9         
3030      6         
3060      11        
3090      2         
3120      3         
3150      5         
3180      2         
3210      4         
3240      5         
3300      2         
3330      3         
3360      3         
3390      4         
3420      2         
3480      1         
3510      2         
3570      1         
3600      1         
3660      2         
3690      1         
3780      1         
>>> SFARSIT DATE GRAFIC <<<

