==============================
 ANALIZA: ACTIVE_LAST_3_YEARS
==============================

CURRENT RATING STATS (BUCKET 100)
------------------------------------------------------------------------------------------
BUCKET      USERS     TOP %     MEDIAN_TIME    AVG_TIME       
-100--1        48        100.0     1.089          1.386          
0-99        30        99.981    0.936          1.312          
100-199       43        99.97     0.942          1.23           
200-299       104       99.953    0.933          1.184          
300-399       284       99.912    0.905          1.158          
400-499       814       99.802    0.869          1.12           
500-599       2643      99.485    0.82           1.059          
600-699       7405      98.455    0.751          0.981          
700-799       16384     95.57     0.68           0.918          
800-899       26378     89.187    0.65           0.905          
900-999       30799     78.91     0.663          0.933          
1000-1099      30097     66.911    0.705          0.979          
1100-1199      26913     55.185    0.75           1.028          
1200-1299      28367     44.7      0.804          1.08           
1300-1399      19726     33.649    0.864          1.147          
1400-1499      20682     25.963    0.934          1.215          
1500-1599      11220     17.906    0.998          1.288          
1600-1699      13131     13.535    1.091          1.392          
1700-1799      6276      8.419     1.204          1.52           
1800-1899      3677      5.974     1.378          1.703          
1900-1999      3589      4.541     1.496          1.845          
2000-2099      1817      3.143     1.674          2.018          
2100-2199      2948      2.435     1.866          2.198          
2200-2299      1200      1.286     2.159          2.467          
2300-2399      585       0.819     2.454          2.747          
2400-2499      641       0.591     2.75           2.995          
2500-2599      289       0.341     3.093          3.273          
2600-2699      213       0.229     3.26           3.534          
2700-2799      131       0.146     3.483          3.784          
2800-2899      79        0.095     3.783          4.005          
2900-2999      48        0.064     4.003          4.233          
3000-3099      55        0.045     4.189          4.53           
3100-3199      19        0.024     4.588          4.777          
3200-3299      12        0.016     4.754          5.081          
3300-3399      11        0.012     5.265          5.492          
3400-3499      8         0.007     5.429          5.645          
3500-3599      5         0.004     6.102          6.086          
3600-3699      4         0.002     6.269          6.52           
3700-3799      2         0.001     6.713          7.784          

TOTAL USERS: 256677

CURRENT RANK STATS
------------------------------------------------------------------------------------------
RANK                          USERS     TOP %     MEDIAN_TIME    AVG_TIME       
Newbie                        141942    100.0     -              -              
Pupil                         48093     44.7      0.804          1.08           
Specialist                    31902     25.963    0.934          1.215          
Expert                        23084     13.535    1.091          1.392          
Candidate Master              5406      4.541     1.496          1.845          
Master                        4148      2.435     1.866          2.198          
International Master          585       0.819     2.454          2.747          
Grandmaster                   930       0.591     2.75           2.995          
International Grandmaster     471       0.229     3.26           3.534          
Legendary Grandmaster         116       0.045     4.189          4.53           

TOTAL USERS: 256677

>>> DATE PENTRU GRAFIC: ACTIVE_LAST_3_YEARS (PAS 30) <<<
BUCKET    USERS     
-60       31        
-30       17        
0         8         
30        8         
60        9         
90        13        
120       5         
150       17        
180       20        
210       23        
240       32        
270       42        
300       51        
330       96        
360       82        
390       144       
420       180       
450       296       
480       402       
510       583       
540       792       
570       1115      
600       1585      
630       2006      
660       2698      
690       3650      
720       4418      
750       5373      
780       6359      
810       7263      
840       7863      
870       8952      
900       8976      
930       9395      
960       9264      
990       9255      
1020      9130      
1050      8926      
1080      8901      
1110      8470      
1140      7749      
1170      7743      
1200      9502      
1230      8853      
1260      7681      
1290      6892      
1320      6247      
1350      5573      
1380      5888      
1410      7265      
1440      6090      
1470      4784      
1500      4164      
1530      3373      
1560      2765      
1590      4337      
1620      4493      
1650      3397      
1680      2654      
1710      2136      
1740      1770      
1770      1538      
1800      1336      
1830      1094      
1860      992       
1890      1190      
1920      1169      
1950      997       
1980      729       
2010      642       
2040      497       
2070      437       
2100      1201      
2130      884       
2160      643       
2190      552       
2220      401       
2250      295       
2280      257       
2310      204       
2340      131       
2370      165       
2400      255       
2430      182       
2460      164       
2490      112       
2520      95        
2550      81        
2580      59        
2610      88        
2640      62        
2670      45        
2700      44        
2730      43        
2760      34        
2790      36        
2820      24        
2850      21        
2880      13        
2910      20        
2940      13        
2970      10        
3000      22        
3030      12        
3060      19        
3090      5         
3120      8         
3150      5         
3180      4         
3210      5         
3240      5         
3270      1         
3300      4         
3330      3         
3360      3         
3390      5         
3420      2         
3450      1         
3480      1         
3510      2         
3540      2         
3570      1         
3600      1         
3660      3         
3690      1         
3780      1         
>>> SFARSIT DATE GRAFIC <<<

