==============================
 ANALIZA: ACTIVE_LAST_6_MONTHS
==============================

CURRENT RATING STATS (BUCKET 100)
------------------------------------------------------------------------------------------
BUCKET      USERS     TOP %     MEDIAN_TIME    AVG_TIME       
-100--1        13        100.0     1.089          1.386          
0-99        6         99.986    0.936          1.312          
100-199       4         99.979    0.942          1.23           
200-299       18        99.975    0.933          1.184          
300-399       39        99.955    0.905          1.158          
400-499       111       99.913    0.869          1.12           
500-599       462       99.791    0.82           1.059          
600-699       1599      99.286    0.751          0.981          
700-799       4215      97.538    0.68           0.918          
800-899       8037      92.929    0.65           0.905          
900-999       10345     84.141    0.663          0.933          
1000-1099      10868     72.829    0.705          0.979          
1100-1199      10290     60.946    0.75           1.028          
1200-1299      11410     49.694    0.804          1.08           
1300-1399      8333      37.218    0.864          1.147          
1400-1499      8141      28.107    0.934          1.215          
1500-1599      4795      19.205    0.998          1.288          
1600-1699      4421      13.962    1.091          1.392          
1700-1799      2414      9.128     1.204          1.52           
1800-1899      1595      6.488     1.378          1.703          
1900-1999      1324      4.744     1.496          1.845          
2000-2099      780       3.297     1.674          2.018          
2100-2199      895       2.444     1.866          2.198          
2200-2299      444       1.465     2.159          2.467          
2300-2399      262       0.98      2.454          2.747          
2400-2499      254       0.693     2.75           2.995          
2500-2599      121       0.416     3.093          3.273          
2600-2699      80        0.283     3.26           3.534          
2700-2799      60        0.196     3.483          3.784          
2800-2899      40        0.13      3.783          4.005          
2900-2999      26        0.086     4.003          4.233          
3000-3099      17        0.058     4.189          4.53           
3100-3199      8         0.039     4.588          4.777          
3200-3299      8         0.031     4.754          5.081          
3300-3399      9         0.022     5.265          5.492          
3400-3499      4         0.012     5.429          5.645          
3500-3599      3         0.008     6.102          6.086          
3600-3699      2         0.004     6.269          6.52           
3700-3799      2         0.002     6.713          7.784          

TOTAL USERS: 91455

CURRENT RANK STATS
------------------------------------------------------------------------------------------
RANK                          USERS     TOP %     MEDIAN_TIME    AVG_TIME       
Newbie                        46007     100.0     -              -              
Pupil                         19743     49.694    0.804          1.08           
Specialist                    12936     28.107    0.934          1.215          
Expert                        8430      13.962    1.091          1.392          
Candidate Master              2104      4.744     1.496          1.845          
Master                        1339      2.444     1.866          2.198          
International Master          262       0.98      2.454          2.747          
Grandmaster                   375       0.693     2.75           2.995          
International Grandmaster     206       0.283     3.26           3.534          
Legendary Grandmaster         53        0.058     4.189          4.53           

TOTAL USERS: 91455

>>> DATE PENTRU GRAFIC: ACTIVE_LAST_6_MONTHS (PAS 30) <<<
BUCKET    USERS     
-60       9         
-30       4         
30        1         
60        5         
120       1         
150       1         
180       3         
210       3         
240       4         
270       10        
300       5         
330       15        
360       9         
390       19        
420       28        
450       35        
480       70        
510       95        
540       137       
570       199       
600       292       
630       458       
660       568       
690       877       
720       1089      
750       1438      
780       1765      
810       2159      
840       2358      
870       2847      
900       2947      
930       3130      
960       3169      
990       3222      
1020      3300      
1050      3253      
1080      3327      
1110      3116      
1140      2963      
1170      3076      
1200      3614      
1230      3632      
1260      3196      
1290      2883      
1320      2553      
1350      2424      
1380      2362      
1410      2694      
1440      2516      
1470      2010      
1500      1716      
1530      1460      
1560      1200      
1590      1499      
1620      1467      
1650      1225      
1680      958       
1710      775       
1740      702       
1770      628       
1800      542       
1830      493       
1860      447       
1890      426       
1920      430       
1950      383       
1980      301       
2010      270       
2040      214       
2070      193       
2100      331       
2130      279       
2160      208       
2190      196       
2220      148       
2250      103       
2280      108       
2310      86        
2340      61        
2370      81        
2400      104       
2430      72        
2460      60        
2490      43        
2520      33        
2550      39        
2580      30        
2610      35        
2640      23        
2670      16        
2700      17        
2730      18        
2760      18        
2790      18        
2820      9         
2850      13        
2880      10        
2910      9         
2940      8         
2970      6         
3000      5         
3030      4         
3060      7         
3090      1         
3120      3         
3150      4         
3180      1         
3210      3         
3240      5         
3300      2         
3330      3         
3360      3         
3390      2         
3420      2         
3480      1         
3510      2         
3570      1         
3600      1         
3660      1         
3690      1         
3780      1         
>>> SFARSIT DATE GRAFIC <<<

